Year,Total Electricity Generation (MWh),Nuclear Generation (MWh),Nuclear Fuel Share (Percent),Capacity Factor (Percent),Summer Capacity (MW)
1971,1615853616,38104545,2.4,48.2,9033
1972,1752978413,54091135,3.1,42.5,14481
1973,1864056631,83479463,4.5,53.5,22683
1974,1870319405,113975740,6.1,47.8,31867
1975,1920754569,172505075,9,55.9,37267
1976,2040913681,191103531,9.4,54.7,43822
1977,2127447487,250883283,11.8,63.3,46303
1978,2209376911,276403070,12.5,64.5,50824
1979,2250665025,255154623,11.3,58.4,49747
1980,2289600364,251115575,11,56.3,51810
1981,2297973339,272673503,11.9,58.2,56042
1982,2244372488,282773248,12.6,56.6,60035
1983,2313445685,293677119,12.7,54.4,63009
1984,2419465368,327633549,13.5,56.3,69652
1985,2473002122,383690727,15.5,58,79397
1986,2490470952,414038063,16.6,56.9,85241
1987,2575287666,455270382,17.7,57.4,93583
1988,2707411177,526973047,19.5,63.5,94695
1989,2967305524,529354717,17.8,62.2,98161
1990,3037988277,576861678,19,66,99624
1991,3073798885,612565087,19.9,70.2,99589
1992,3083882204,618776263,20.1,70.9,98985
1993,3197191096,610291214,19.1,70.5,99041
1994,3247522388,640439832,19.7,73.8,99148
1995,3353487362,673402123,20.1,77.4,99515
1996,3444187621,674728546,19.6,76.2,100784
1997,3492172283,628644171,18,71.1,99716
1998,3620295498,673702104,18.6,78.2,97070
1999,3694809810,728254124,19.7,85.3,97411
2000,3802105043,753892940,19.8,88.1,97860
2001,3736643653,768826308,20.6,89.4,98159
2002,3858452252,780064087,20.2,90.3,98657
2003,3883185205,763732695,19.7,87.9,99209
2004,3970555289,788528387,19.9,90.1,99628
2005,4055422744,781986365,19.3,89.3,99988
2006,4064702228,787218636,19.4,89.6,100334
2007,4156744724,806424753,19.4,91.8,100266
2008,4119387760,806208435,19.6,91.1,100755
2009,3950330927,798854585,20.2,90.3,101004
2010,4125059890,806968301,19.6,90.9,101167
2011,4100140927,790204367,19.3,88.9,101419
2012,4047765260,769331249,19,86.4,101885
2013,4065964097,789016473,19.4,89.9,99125
2014,4092535039,797165982,19.5,91.7,99227
2015,4087381483,797177533,19.5,92.2,98729
2016,4078669996,805327221,19.7,92.1,97728
